State,AMERICAN INDIAN/ALASKA NATIVE,ASIAN,BLACK,HISPANIC/LATINO,NATIVE HAWAIIAN/OTH PACF ISL,WHITE,TWO OR MORE RACES,OTHER,NO RESPONSE,State Totals
Alabama,1,61,17,20,0,192,12,0,7,310
Alaska,0,4,0,2,0,27,4,0,6,43
Arizona,3,193,12,106,0,283,37,0,25,659
Arkansas,1,53,16,50,0,262,17,0,6,405
California,23,6034,149,1667,16,2659,731,0,715,11994
Colorado,2,152,14,74,1,623,44,0,13,923
Connecticut,1,353,41,102,1,717,63,0,59,1337
Delaware,1,57,26,12,0,120,12,0,7,235
District-of-Columbia,0,10,30,16,0,57,11,0,10,134
Florida,11,482,158,795,3,1151,109,0,78,2787
Georgia,7,801,177,216,0,944,90,0,60,2295
Hawaii,0,68,0,14,4,19,28,0,1,134
Idaho,0,35,1,1,0,109,8,0,12,166
Illinois,3,1059,78,394,2,1695,132,0,174,3537
Indiana,3,119,38,52,1,532,36,0,26,807
Iowa,0,60,7,14,0,174,19,0,14,288
Kansas,1,36,2,10,0,82,12,0,4,147
Kentucky,3,87,5,19,0,372,20,0,16,522
Louisiana,0,29,23,30,0,182,8,0,3,275
Maine,0,11,2,5,0,92,3,0,7,120
Maryland,7,671,263,121,3,835,103,0,144,2147
Massachusetts,5,743,91,153,1,1205,100,0,154,2452
Michigan,0,429,19,57,3,850,43,0,52,1453
Minnesota,3,208,31,45,1,556,47,0,52,943
Mississippi,0,4,4,1,0,11,3,0,1,24
Missouri,1,116,22,20,1,360,20,0,29,569
Montana,0,1,0,0,0,8,0,0,0,9
Nebraska,0,25,7,5,0,97,6,0,4,144
Nevada,2,78,12,80,2,138,34,0,7,353
New-Hampshire,0,77,1,11,0,118,9,0,11,227
New-Jersey,20,1935,147,413,3,1686,166,0,269,4639
New-Mexico,2,11,2,27,0,52,1,0,18,113
New-York,8,1531,207,512,2,1829,164,0,241,4494
North-Carolina,2,356,58,97,0,710,70,0,65,1358
North-Dakota,0,1,1,1,0,31,3,0,1,38
Ohio,9,274,61,51,1,930,66,0,61,1453
Oklahoma,1,30,3,17,0,98,17,0,6,172
Oregon,2,80,1,21,0,180,24,0,15,323
Pennsylvania,10,609,71,124,2,1339,98,0,109,2362
Rhode-Island,0,31,1,17,0,103,8,0,4,164
South-Carolina,4,65,24,22,0,282,29,0,11,437
South-Dakota,0,4,0,0,0,5,0,0,0,9
Tennessee,1,78,13,19,0,244,12,0,9,376
Texas,31,2287,198,1351,6,2203,276,0,229,6581
Utah,0,24,3,19,0,158,19,0,9,232
Vermont,0,12,1,3,0,69,2,0,5,92
Virginia,7,1289,174,236,1,1284,211,0,148,3350
Washington,8,958,26,151,7,993,160,0,139,2442
West-Virginia,1,17,1,5,0,87,5,0,3,119
Wisconsin,2,90,8,41,0,576,34,0,34,785
Wyoming,1,2,0,0,0,17,0,0,2,22
