State,AMERICAN INDIAN/ALASKA NATIVE,ASIAN,BLACK,HISPANIC/LATINO,NATIVE HAWAIIAN/OTH PACF ISL,OTHER,State Totals,TWO OR MORE RACES,WHITE
Alabama,25565,66270,1299048,208626,2238,70662,4876250,92220,3194929
Alaska,109751,45920,24205,51870,9204,11308,737068,60665,446897
Arizona,317414,233213,317462,2208663,14458,460262,7050299,263037,3857007
Arkansas,20434,45504,459542,224130,8733,83576,2999370,80537,2172453
California,303998,5692423,2274108,15327688,155290,5481792,39283497,1922664,14605312
Colorado,54847,178147,233647,1208172,8643,216767,5610349,205724,3818321
Connecticut,9955,161257,383416,574240,1123,186292,3575074,119000,2392013
Delaware,3729,37009,212302,88364,542,18350,957248,27079,596497
District of Columbia,2091,27592,320811,76191,376,34511,692683,21445,253373
Florida,59320,571276,3359031,5346684,12653,625079,20901636,572021,11266347
Georgia,37440,414481,3289020,992394,6233,291872,10403847,265912,5485855
Hawaii,3710,537355,26025,149118,142997,17433,1422094,339727,312722
Idaho,23136,24287,11918,215476,2755,59676,1717750,50569,1407883
Illinois,33460,698524,1813590,2186387,4477,757231,12770631,328446,7829850
Indiana,15782,151979,626587,461850,2506,145747,6665703,169711,5271071
Iowa,11976,75741,116359,188311,3729,39048,3139508,66585,2690052
Kansas,24010,85794,170291,345680,2382,71683,2910652,100557,2208576
Kentucky,9386,65191,358928,162994,3182,43601,4449052,100285,3761855
Louisiana,26361,80806,1502963,239164,1406,65592,4664362,94959,2735887
Maine,8660,15109,18468,22100,396,3541,1335492,29796,1244531
Maryland,16762,378126,1799094,606482,3034,272137,6018848,206692,3062363
Massachusetts,14764,452436,522357,809179,2804,286619,6850553,223035,4903539
Michigan,53316,311721,1374314,507353,3099,117801,9965265,291259,7477400
Minnesota,58011,268181,356515,299556,2194,104032,5563378,165396,4442126
Mississippi,14269,29605,1125623,91202,680,30728,2984418,40296,1689927
Missouri,27084,120654,701334,254791,8231,71335,6104910,160368,4849901
Montana,66839,8259,5303,40314,807,7076,1050649,32161,904550
Nebraska,17673,45655,92406,208271,1327,40253,1914571,50386,1512111
Nevada,38026,242267,271005,853041,20022,304947,2972382,146408,1463237
New Hampshire,2036,36180,21546,50493,443,7510,1348124,28281,1214927
New Jersey,19711,840168,1194882,1794736,3458,558665,8878503,243545,4916380
New Mexico,199845,32577,44120,1020817,1644,180638,2092454,68264,782269
New York,79512,1647606,3065471,3720983,8821,1694965,19572319,616257,10883812
North Carolina,123952,292992,2200761,962665,7213,316763,10264876,273276,6474688
North Dakota,40006,11006,21985,28317,863,8109,756717,19612,638985
Ohio,22816,258199,1446193,443415,3880,112836,11655397,335426,9197115
Oklahoma,299621,85239,286356,417906,6260,106709,3932870,304615,2581231
Oregon,48060,180580,78679,537217,16625,126587,4129803,198352,3125842
Pennsylvania,24691,436324,1430664,935216,4198,275177,12791530,319874,9777163
Rhode Island,5277,35958,71561,163226,810,57807,1057231,35221,761432
South Carolina,17645,78805,1344139,285458,4002,88274,5020806,115930,3196421
South Dakota,76190,12627,17531,33024,504,7230,870638,22837,713546
Tennessee,18189,117600,1124473,364174,3771,92655,6709356,147536,4951558
Texas,141425,1357273,3428211,11116881,25292,1643869,28260856,761411,11856336
Utah,33721,71977,36849,434832,27554,156229,3096848,94036,2425647
Vermont,2132,10461,8502,12038,325,2410,624313,12600,579340
Virginia,23873,541133,1621592,792001,6179,223794,8454463,320275,5227569
Washington,94449,631333,281683,937579,49090,333038,7404107,433386,5073945
West Virginia,3667,14523,66990,28368,419,7971,1817305,32135,1671546
Wisconsin,51392,161841,371200,394392,2400,118350,5790716,138572,4705599
Wyoming,14164,5025,5582,57341,596,8832,581024,15521,488437
